IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
64.181.240.173,443,true,SJC,North America,San Jose,188 ms,8163 kB/s
152.70.155.147,8443,true,LAX,North America,Los Angeles,249 ms,7269 kB/s
152.70.155.147,2083,true,LAX,North America,Los Angeles,248 ms,6795 kB/s
158.178.153.80,2096,true,AMS,Europe,Amsterdam,264 ms,6203 kB/s
152.70.155.147,443,true,LAX,North America,Los Angeles,256 ms,5490 kB/s
152.70.155.147,2096,true,LAX,North America,Los Angeles,252 ms,5236 kB/s
152.70.155.147,2087,true,LAX,North America,Los Angeles,249 ms,4901 kB/s
89.168.83.143,8443,true,FRA,Europe,Frankfurt,261 ms,4522 kB/s
129.151.148.35,443,true,AMS,Europe,Amsterdam,185 ms,4330 kB/s
141.144.197.111,443,true,AMS,Europe,Amsterdam,266 ms,4093 kB/s
193.123.81.105,443,true,CDG,Europe,Paris,177 ms,4072 kB/s
129.146.46.164,443,true,LAX,North America,Los Angeles,311 ms,3904 kB/s
217.142.243.226,443,true,KIX,Asia Pacific,Osaka,194 ms,3784 kB/s
143.47.243.144,8443,true,LHR,Europe,London,234 ms,3426 kB/s
143.47.243.144,2053,true,LHR,Europe,London,243 ms,3301 kB/s
40.233.70.7,8443,true,YYZ,North America,Toronto,232 ms,3196 kB/s
138.2.163.220,443,true,FRA,Europe,Frankfurt,291 ms,3149 kB/s
129.151.198.3,8443,true,ARN,Europe,Stockholm,257 ms,3113 kB/s
129.151.198.3,2053,true,ARN,Europe,Stockholm,257 ms,3001 kB/s
164.152.26.70,2052,true,ORD,North America,Chicago,251 ms,2991 kB/s
89.168.68.57,2053,true,FRA,Europe,Frankfurt,296 ms,2952 kB/s
132.226.31.178,443,true,LAX,North America,Los Angeles,245 ms,2910 kB/s
140.238.158.238,8080,true,YYZ,North America,Toronto,240 ms,2546 kB/s
129.146.254.39,443,true,LAX,North America,Los Angeles,239 ms,2508 kB/s
150.230.20.156,8443,true,AMS,Europe,Amsterdam,290 ms,2478 kB/s
129.154.46.115,443,true,HYD,Asia Pacific,Hyderabad,372 ms,2412 kB/s
164.152.26.70,2086,true,ORD,North America,Chicago,250 ms,2185 kB/s
141.147.61.116,8443,true,FRA,Europe,Frankfurt,301 ms,2031 kB/s
84.235.169.234,443,true,AMS,Europe,Amsterdam,295 ms,1857 kB/s
158.179.207.182,2053,true,ARN,Europe,Stockholm,258 ms,1732 kB/s
146.235.59.153,2053,true,GRU,South America,São Paulo,380 ms,1683 kB/s
144.24.200.164,443,true,MRS,Europe,Marseille,276 ms,1462 kB/s
130.61.23.77,443,true,FRA,Europe,Frankfurt,317 ms,1359 kB/s
140.238.158.238,443,true,YYZ,North America,Toronto,241 ms,1353 kB/s
150.230.20.156,2053,true,AMS,Europe,Amsterdam,288 ms,1337 kB/s
144.22.252.124,443,true,GRU,South America,São Paulo,351 ms,1171 kB/s
146.235.59.153,8443,true,GRU,South America,São Paulo,352 ms,1007 kB/s
89.168.43.31,2053,true,CDG,Europe,Paris,261 ms,921 kB/s
158.179.207.182,8443,true,ARN,Europe,Stockholm,258 ms,677 kB/s
129.159.84.71,443,true,IAD,North America,Ashburn,249 ms,659 kB/s
192.18.159.129,443,true,YYZ,North America,Toronto,232 ms,636 kB/s
141.147.61.116,2053,true,FRA,Europe,Frankfurt,304 ms,537 kB/s
152.67.231.219,443,true,SJC,North America,San Jose,176 ms,377 kB/s
129.213.136.180,443,true,IAD,North America,Ashburn,247 ms,236 kB/s
132.226.163.224,8443,true,GRU,South America,São Paulo,358 ms,224 kB/s
168.138.141.235,2053,true,GRU,South America,São Paulo,367 ms,176 kB/s
192.9.180.162,443,true,SYD,Oceania,Sydney,327 ms,19 kB/s
132.145.127.203,2053,true,NRT,Asia Pacific,Tokyo,168 ms,0 kB/s
168.138.184.172,443,true,SIN,Asia Pacific,Singapore,255 ms,0 kB/s
158.101.24.17,443,true,LAX,North America,Los Angeles,262 ms,0 kB/s
168.138.50.249,443,true,KIX,Asia Pacific,Osaka,188 ms,0 kB/s
150.230.7.216,443,true,KIX,Asia Pacific,Osaka,182 ms,0 kB/s
152.70.155.147,2053,true,LAX,North America,Los Angeles,247 ms,0 kB/s
